Product Title,Price,Product Link
Star Wars Wrong Droids Funny Comic Disney+ T-Shirt,22.99,https://www.amazon.com//sspa/click?ie=UTF8&spc=MTo1NTg1MzMwMzA5ODQ1OTU6MTc0MDk1MDM3MzpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMDQxMjgyNDU2OTk4OjozOjo&url=%2FStar-Wars-Droids-Graphic-T-Shirt%2Fdp%2FB07KVJG144%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.eb3f6912-14ce-4b04-826b-7094fb405ad6%253Aamzn1.sym.eb3f6912-14ce-4b04-826b-7094fb405ad6%26crid%3DM7SWQ9FKTZG9%26cv_ct_cx%3Ddata%252Banalyst%252Btshirt%26keywords%3Ddata%252Banalyst%252Btshirt%26pd_rd_i%3DB07KVJG144%26pd_rd_r%3Dc3bd1e0f-e74f-4ffc-a232-48113bd3c088%26pd_rd_w%3DFurcR%26pd_rd_wg%3D4IM32%26pf_rd_p%3Deb3f6912-14ce-4b04-826b-7094fb405ad6%26pf_rd_r%3DZK22065X185ZYKGEDXQS%26qid%3D1740950373%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Ddata%252Banalyst%252Btshirt%252Caps%252C121%26sr%3D1-4-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26xpid%3D8-6USGCdPy3cd%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Star Wars Funny Darth Vader and Boba Fett Comic T-Shirt,22.99,https://www.amazon.com//sspa/click?ie=UTF8&spc=MTo1NTg1MzMwMzA5ODQ1OTU6MTc0MDk1MDM3MzpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMTYwNzQ0NzY1NTk4Ojo0Ojo&url=%2FStar-Wars-Funny-Darth-T-Shirt%2Fdp%2FB07Z8S4FJL%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.eb3f6912-14ce-4b04-826b-7094fb405ad6%253Aamzn1.sym.eb3f6912-14ce-4b04-826b-7094fb405ad6%26crid%3DM7SWQ9FKTZG9%26cv_ct_cx%3Ddata%252Banalyst%252Btshirt%26keywords%3Ddata%252Banalyst%252Btshirt%26pd_rd_i%3DB07Z8S4FJL%26pd_rd_r%3Dc3bd1e0f-e74f-4ffc-a232-48113bd3c088%26pd_rd_w%3DFurcR%26pd_rd_wg%3D4IM32%26pf_rd_p%3Deb3f6912-14ce-4b04-826b-7094fb405ad6%26pf_rd_r%3DZK22065X185ZYKGEDXQS%26qid%3D1740950373%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Ddata%252Banalyst%252Btshirt%252Caps%252C121%26sr%3D1-5-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26xpid%3D8-6USGCdPy3cd%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Data Over Opinion Data Statistics Analysis Data Science T-Shirt,17.99,https://www.amazon.com//Data-Opinion-Statistics-Analysis-Science/dp/B09PRK9C47/ref=sr_1_8?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-8&xpid=8-6USGCdPy3cd
Data Analyst Shirt - Torture The Data T-Shirt,13.38,https://www.amazon.com//Data-Analyst-Shirt-Torture/dp/B07JGRW8GP/ref=sr_1_9?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-9&xpid=8-6USGCdPy3cd
Data Or It Didnt Happen Data Analyst Data Scientist Present T-Shirt,16.99,https://www.amazon.com//Data-Didnt-Happen-Analyst-Scientist/dp/B0CWNBZH32/ref=sr_1_10?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-10&xpid=8-6USGCdPy3cd
Funny Data Analyst For Men Software Engineering Scientist T-Shirt,21.99,https://www.amazon.com//Data-Analyst-Software-Engineering-Scientist/dp/B09BVYRCLB/ref=sr_1_11?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-11&xpid=8-6USGCdPy3cd
Two Types Of People - Funny Data Science Statistics Analyst T-Shirt,19.99,https://www.amazon.com//Two-Types-People-Science-Statistics/dp/B09BSNZGBQ/ref=sr_1_12?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-12&xpid=8-6USGCdPy3cd
Talk Data to me shirt for men Data analyst Data Scientist T-Shirt,16.99,https://www.amazon.com//Talk-Data-shirt-analyst-Scientist/dp/B07BNXCMC5/ref=sr_1_13?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-13&xpid=8-6USGCdPy3cd
It's Just An Opinion T-Shirt,16.96,https://www.amazon.com//School-Psych-Data-Analyst-Without/dp/B0CL6PFJS9/ref=sr_1_14?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-14&xpid=8-6USGCdPy3cd
"Data Nerd T-Shirt for Data Analysts, Scientists & Stem (HOT) T-Shirt",19.99,https://www.amazon.com//Data-Nerd-T-Shirt-Analysts-Scientists/dp/B07NWWSTQK/ref=sr_1_15?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-15&xpid=8-6USGCdPy3cd
